"X_index","reported_date"
1,2020-02-13
2,2020-02-13
3,2020-02-13
4,2020-02-13
5,2020-02-13
6,2020-02-13
7,2020-02-13
8,2020-02-13
9,2020-02-13
10,2020-02-13
11,2020-02-13
12,2020-02-13
13,2020-02-13
14,2020-02-13
15,2020-02-13
16,2020-02-13
17,2020-02-13
18,2020-02-13
19,2020-02-13
20,2020-02-13
21,2020-02-13
22,2020-02-13
23,2020-02-13
24,2020-02-13
25,2020-02-13
26,2020-02-13
27,2020-02-13
28,2020-02-13
29,2020-02-13
30,2020-02-13
31,2020-02-13
32,2020-02-13
33,2020-02-13
34,2020-02-13
35,2020-02-13
36,2020-02-13
37,2020-02-13
38,2020-02-13
39,2020-02-13
40,2020-02-13
41,2020-02-13
42,2020-02-13
43,2020-02-13
44,2020-02-13
45,2020-02-13
46,2020-02-13
47,2020-02-13
48,2020-02-13
49,2020-02-13
50,2020-02-13
51,2020-02-13
52,2020-02-13
53,2020-02-13
54,2020-02-13
55,2020-02-13
56,2020-02-13
57,2020-02-13
58,2020-02-13
59,2020-02-13
60,2020-02-13
61,2020-02-13
62,2020-02-13
63,2020-02-13
64,2020-02-13
65,2020-02-13
66,2020-02-13
67,2020-02-13
68,2020-02-13
69,2020-02-13
70,2020-02-13
71,2020-02-13
72,2020-02-13
73,2020-02-13
74,2020-02-13
75,2020-02-13
76,2020-02-13
77,2020-02-13
78,2020-02-13
79,2020-02-13
80,2020-02-13
81,2020-02-13
82,2020-02-13
83,2020-02-13
84,2020-02-13
85,2020-02-13
86,2020-02-13
87,2020-02-13
88,2020-02-13
89,2020-02-13
90,2020-02-13
91,2020-02-16
92,2020-02-16
93,2020-02-16
94,2020-02-16
95,2020-02-16
96,2020-02-16
97,2020-02-16
98,2020-02-16
99,2020-02-16
100,2020-02-16
101,2020-02-16
102,2020-02-16
103,2020-02-16
104,2020-02-16
105,2020-02-16
106,2020-02-16
107,2020-02-16
108,2020-02-16
109,2020-02-16
110,2020-02-16
111,2020-02-16
112,2020-02-16
113,2020-02-16
114,2020-02-16
115,2020-02-16
116,2020-02-16
117,2020-02-16
118,2020-02-16
119,2020-02-16
120,2020-02-16
121,2020-02-16
122,2020-02-16
123,2020-02-16
124,2020-02-16
125,2020-02-16
126,2020-02-16
127,2020-02-16
128,2020-02-16
129,2020-02-16
130,2020-02-16
131,2020-02-16
132,2020-02-16
133,2020-02-16
134,2020-02-16
135,2020-02-16
136,2020-02-16
137,2020-02-16
138,2020-02-16
139,2020-02-16
140,2020-02-16
141,2020-02-16
142,2020-02-16
143,2020-02-16
144,2020-02-16
145,2020-02-16
146,2020-02-16
147,2020-02-16
148,2020-02-16
149,2020-02-16
150,2020-02-16
151,2020-02-16
152,2020-02-16
153,2020-02-16
154,2020-02-16
155,2020-02-16
156,2020-02-16
157,2020-02-16
158,2020-02-16
159,2020-02-16
160,2020-02-16
161,2020-02-16
162,2020-02-16
163,2020-02-16
164,2020-02-16
165,2020-02-16
166,2020-02-16
167,2020-02-16
168,2020-02-16
169,2020-02-16
170,2020-02-16
171,2020-02-16
172,2020-02-16
173,2020-02-16
174,2020-02-16
175,2020-02-16
176,2020-02-16
177,2020-02-16
